ID,Customer.Code,Sentimental.Score,text
1,15000898,2,"RT @BankofAmerica: We’re proud to support our partners at the National Museum of African American History and Culture, @NMAAHC, who have th…"
2,15008020,1,Tomorrow I’m calling @BankofAmerica like Miami???!!! https://t.co/vJOuAgef0R
3,15005938,1,I have some free time in Charlotte NC the week of 6-11 May 2019 should anyone be interested to engage with me… https://t.co/T69SOJS99D
4,15006232,0,@Jordano36201496 @musser_benson @BankofAmerica Send them a 1099a they will be alright
5,15009449,-1,This is the second time I’ve traveled internationally and y’all pulled this mess @BankofAmerica .
6,15003019,-1,@BankofAmerica has the worst customer service EVER
7,15000701,2,RT @SteveStrauss: Check out my latest @BankofAmerica podcast - some great tips in here on word-of-mouth and how to get great reviews! https…
8,15005257,0,@GSDOUBLEU @Luong1209 @BankofAmerica Last week it happened to chase also for a couple hours app and online didn’t w… https://t.co/tp9EsjL9n1
9,15006918,0,RT @BankofAmerica: Thank you for joining us in cheering on @SpecialOlympicsNY athletes at the #FrostFest Skating Showcase in the Bank of Am…
10,15004633,2,RT @BankofAmerica: Let’s #ChooseToInclude as we cheer on employees like Andrew Crout while he takes to the court for @SpecialOlyUSA. https:…
11,15006002,2,RT @SteveStrauss: Check out my latest @BankofAmerica podcast - some great tips in here on word-of-mouth and how to get great reviews! https…
12,15002152,0,@BankofAmerica I need a customer service rep ASAP
13,15004879,2,"RT @BankofAmerica: We’re proud to support our partners at the National Museum of African American History and Culture, @NMAAHC, who have th…"
14,15004467,0,Excuse me what??? @BankofAmerica https://t.co/UHvWRddxDy
15,15000432,-1,"@xargos32 On a related note, my bank (@BankofAmerica ) just gave me an error message that included the phrase ""Even… https://t.co/NPYy2ZtJ3Y"
16,15005756,2,"RT @BankofAmerica: We’re proud to support our partners at the National Museum of African American History and Culture, @NMAAHC, who have th…"
17,15002507,-1,@BankofAmerica @NMAAHC You are a terrible company
18,15007746,2,"RT @BankofAmerica: We’re proud to support our partners at the National Museum of African American History and Culture, @NMAAHC, who have th…"
19,15008215,0,"@BankofAmerica @NMAAHC Unlike Wells Fargo, at least your bank doesn't shove Black people, who have white people kre… https://t.co/0a8ccIn4oI"
20,15006323,0,"Meet the 2019 #BlackHistoryMonth Champions Award honorees: @NYPDFIRSTDEP, @BPEricAdams, @DeidreSully of… https://t.co/1mrn45udZb"
21,15000400,0,@BankofAmerica @NMAAHC Not all Africans are black and not all blacks are African
22,15006454,1,@BankofAmerica I got $5000 today from my investment. Thanks to the trader. It's really reliable. To know more. You… https://t.co/J9Ngt7iYxv
23,15004435,2,"RT @BankofAmerica: We’re proud to support our partners at the National Museum of African American History and Culture, @NMAAHC, who have th…"
24,15007032,1,"@Iswaa_JL @BankofAmerica I’m soo annooyedddd, they take 5ever to refund you your money"
25,15005188,2,"RT @BankofAmerica: We’re proud to support our partners at the National Museum of African American History and Culture, @NMAAHC, who have th…"
26,15002773,2,"RT @BankofAmerica: We’re proud to support our partners at the National Museum of African American History and Culture, @NMAAHC, who have th…"
27,15002115,2,"RT @BankofAmerica: We’re proud to support our partners at the National Museum of African American History and Culture, @NMAAHC, who have th…"
28,15002180,0,It's almost time for #FairfieldCountyGives!  Feb 28 we're raising funds for our new playground:… https://t.co/HYdzpwIrH3
29,15008050,2,"RT @BankofAmerica: We’re proud to support our partners at the National Museum of African American History and Culture, @NMAAHC, who have th…"
30,15005109,2,"RT @BankofAmerica: We’re proud to support our partners at the National Museum of African American History and Culture, @NMAAHC, who have th…"
31,15004964,2,"@BankofAmerica @NMAAHC And I am proud to support White History month in March, oh wait, can't do that? How about th… https://t.co/L4KMAf7qSY"
32,15008642,0,@BankofAmerica @NMAAHC surprised you don’t mention the donations to build settlemets on Stolen Palestinians Land. B… https://t.co/A5q5A3Wpxw
33,15006908,0,@BankofAmerica I’m so mfkn tied of having to replace my debit card every 2 days y’all keep letting people take my money I’m tiedddddddd
34,15001025,2,"RT @BankofAmerica: We’re proud to support our partners at the National Museum of African American History and Culture, @NMAAHC, who have th…"
35,15007824,2,"RT @BankofAmerica: We’re proud to support our partners at the National Museum of African American History and Culture, @NMAAHC, who have th…"
36,15003165,2,"RT @BankofAmerica: We’re proud to support our partners at the National Museum of African American History and Culture, @NMAAHC, who have th…"
37,15004348,2,"RT @BankofAmerica: We’re proud to support our partners at the National Museum of African American History and Culture, @NMAAHC, who have th…"
38,15002824,0,RT @Legalator: @StayHomeAmerica @WFB_Fraud @musser_benson @ShannonKetcher2 @Darla_Marlene @ourkidz3 @truthsearch1957 @AJOKERONJACK @CathyPe…
39,15007974,0,RT @WFB_Fraud: @StayHomeAmerica @musser_benson @Legalator @ShannonKetcher2 @Darla_Marlene @ourkidz3 @truthsearch1957 @AJOKERONJACK @CathyPe…
40,15004823,0,RT @Legalator: @StayHomeAmerica @WFB_Fraud @musser_benson @ShannonKetcher2 @Darla_Marlene @ourkidz3 @truthsearch1957 @AJOKERONJACK @CathyPe…
41,15001047,0,RT @ShannonKetcher2: @truthsearch1957 @AJOKERONJACK @Legalator @musser_benson @Darla_Marlene @ourkidz3 @CathyPe78176224 @Isabel1170 @Din_SF…
42,15004927,0,RT @WFB_Fraud: @StayHomeAmerica @musser_benson @Legalator @ShannonKetcher2 @Darla_Marlene @ourkidz3 @truthsearch1957 @AJOKERONJACK @CathyPe…
43,15009072,0,RT @truthsearch1957: @AJOKERONJACK @ShannonKetcher2 @Legalator @musser_benson @Darla_Marlene @ourkidz3 @CathyPe78176224 @Isabel1170 @Din_SF…
44,15002578,0,RT @ShannonKetcher2: @Legalator @StayHomeAmerica @WFB_Fraud @musser_benson @Darla_Marlene @ourkidz3 @truthsearch1957 @AJOKERONJACK @CathyPe…
45,15004235,0,RT @musser_benson: @Legalator @StayHomeAmerica @WFB_Fraud @ShannonKetcher2 @Darla_Marlene @ourkidz3 @truthsearch1957 @AJOKERONJACK @CathyPe…
46,15002107,0,@_MrsSanchezz @BankofAmerica Get a credit union!
47,15001531,2,"RT @BankofAmerica: We’re proud to support our partners at the National Museum of African American History and Culture, @NMAAHC, who have th…"
48,15007909,2,"RT @BankofAmerica: We’re proud to support our partners at the National Museum of African American History and Culture, @NMAAHC, who have th…"
49,15001390,0,RT @AJOKERONJACK: @ShannonKetcher2 @Legalator @StayHomeAmerica @WFB_Fraud @musser_benson @Darla_Marlene @ourkidz3 @truthsearch1957 @CathyPe…
50,15007036,-1,@BankofAmerica wtf!!! You put a hold on my account because of fraud. But the people that hacked my account continue… https://t.co/YKTkGpCsvD
51,15009572,0,RT @Legalator: @StayHomeAmerica @WFB_Fraud @musser_benson @ShannonKetcher2 @Darla_Marlene @ourkidz3 @truthsearch1957 @AJOKERONJACK @CathyPe…
52,15009587,2,"RT @BankofAmerica: We’re proud to support our partners at the National Museum of African American History and Culture, @NMAAHC, who have th…"
53,15008400,2,"RT @BankofAmerica: We’re proud to support our partners at the National Museum of African American History and Culture, @NMAAHC, who have th…"
54,15009335,1,So here I am how many more weeks later? Still no progress all @BankofAmerica can tell me is they can’t find why thi… https://t.co/462pCLw3QJ
55,15006990,0,RT @AJOKERONJACK: @ShannonKetcher2 @Legalator @musser_benson @Darla_Marlene @ourkidz3 @truthsearch1957 @CathyPe78176224 @Isabel1170 @Din_SF…
56,15008494,0,RT @ShannonKetcher2: @Legalator @StayHomeAmerica @WFB_Fraud @musser_benson @Darla_Marlene @ourkidz3 @truthsearch1957 @AJOKERONJACK @CathyPe…
57,15009333,0,RT @musser_benson: @ShannonKetcher2 @Legalator @Darla_Marlene @ourkidz3 @truthsearch1957 @AJOKERONJACK @CathyPe78176224 @Isabel1170 @Din_SF…
58,15005883,0,RT @ShannonKetcher2: @Legalator @musser_benson @Darla_Marlene @ourkidz3 @truthsearch1957 @AJOKERONJACK @CathyPe78176224 @Isabel1170 @Din_SF…
59,15000533,0,RT @Legalator: @musser_benson @Darla_Marlene @ourkidz3 @truthsearch1957 @ShannonKetcher2 @AJOKERONJACK @CathyPe78176224 @Isabel1170 @Din_SF…
60,15000247,0,@ShannonKetcher2 @Legalator @StayHomeAmerica @WFB_Fraud @musser_benson @Darla_Marlene @ourkidz3 @truthsearch1957… https://t.co/FLykTpltpC
61,15001969,0,@truthsearch1957 @AJOKERONJACK @Legalator @musser_benson @Darla_Marlene @ourkidz3 @CathyPe78176224 @Isabel1170… https://t.co/0jxLv4gOGs
62,15001240,0,RT @truthsearch1957: @AJOKERONJACK @ShannonKetcher2 @Legalator @musser_benson @Darla_Marlene @ourkidz3 @CathyPe78176224 @Isabel1170 @Din_SF…
63,15009220,0,RT @WFB_Fraud: @StayHomeAmerica @musser_benson @Legalator @ShannonKetcher2 @Darla_Marlene @ourkidz3 @truthsearch1957 @AJOKERONJACK @CathyPe…
